,Entry_Date,Entry_Price,Position_Size,Direction,Exit_Date,Exit_Price,PnL
84,2022-10-25 00:00:00-04:00,93.47725284576416,21.234289247594823,-1.0,2022-10-27 00:00:00-04:00,94.7535181121826,-27.100585823788006
85,2022-10-28 00:00:00-04:00,95.01607135772704,20.88384676396063,1.0,2022-11-07 00:00:00-05:00,94.69035585021973,-6.802192747428362
86,2022-11-09 00:00:00-05:00,94.8604822692871,20.915830776211838,1.0,2022-11-10 00:00:00-05:00,104.01673638153076,191.5106615556821
87,2022-11-10 00:00:00-05:00,104.01673638153076,19.11070163544677,-1.0,2022-11-15 00:00:00-05:00,106.78246466827392,-52.8550080926638
88,2022-11-17 00:00:00-05:00,108.73705402374266,18.27063608944182,1.0,2022-11-30 00:00:00-05:00,107.5978303527832,-20.81434111657817
89,2022-12-02 00:00:00-05:00,108.94126040649412,18.23184161587071,1.0,2023-01-04 00:00:00-05:00,103.73529508209228,-94.91433525220941
90,2023-01-04 00:00:00-05:00,103.73529508209228,19.127761358212172,-1.0,2023-01-05 00:00:00-05:00,103.23309670257568,9.60593075787438
91,2023-01-05 00:00:00-05:00,103.23309670257568,19.221906286954333,1.0,2023-01-06 00:00:00-05:00,105.88977754211426,51.06647013195776
92,2023-01-06 00:00:00-05:00,105.88977754211426,18.748531644957314,-1.0,2023-01-13 00:00:00-05:00,113.78396601104735,-148.00444232104925
93,2023-01-17 00:00:00-05:00,113.00601293182372,17.540972676140914,1.0,2023-01-31 00:00:00-05:00,115.03175708770752,35.53352288720987
94,2023-01-31 00:00:00-05:00,115.03175708770752,17.237553399595274,-1.0,2023-02-03 00:00:00-05:00,117.30414527130125,-39.17041265930629
95,2023-02-03 00:00:00-05:00,117.30414527130125,16.896270328392863,1.0,2023-03-03 00:00:00-05:00,113.44985973358155,-65.12305036812717
96,2023-03-06 00:00:00-05:00,116.19633993530273,17.04547760798187,-1.0,2023-03-07 00:00:00-05:00,113.66726464843748,43.10929617116195
97,2023-03-07 00:00:00-05:00,113.66726464843748,17.431632052111812,1.0,2023-03-14 00:00:00-04:00,114.63386283874512,16.849383995679855
98,2023-03-15 00:00:00-04:00,112.41283764648436,17.62844324247373,1.0,2023-03-16 00:00:00-04:00,116.74952764892578,76.44909356824174
99,2023-03-16 00:00:00-04:00,116.74952764892578,16.986034585905898,-1.0,2023-03-17 00:00:00-04:00,115.9330245437622,13.869149983808072
100,2023-03-17 00:00:00-04:00,115.9330245437622,17.107376075626046,1.0,2023-03-20 00:00:00-04:00,117.7976423034668,31.89871725255792
101,2023-03-21 00:00:00-04:00,119.8356641921997,16.554903482236845,-1.0,2023-03-22 00:00:00-04:00,118.86976572418212,15.99035591167155
102,2023-03-22 00:00:00-04:00,118.86976572418212,16.691448953021297,1.0,2023-03-30 00:00:00-04:00,122.34922325134278,58.0771876988079
103,2023-03-31 00:00:00-04:00,123.06094154357909,16.1317605700663,1.0,2023-04-21 00:00:00-04:00,129.99664324951172,111.88507930550557
104,2023-04-21 00:00:00-04:00,129.99664324951172,15.28766936690999,-1.0,2023-04-24 00:00:00-04:00,128.8857760620117,16.982570273049507
105,2023-04-25 00:00:00-04:00,129.7512494354248,15.318590045830133,1.0,2023-04-27 00:00:00-04:00,132.6169603729248,43.89865104141422
106,2023-04-27 00:00:00-04:00,132.6169603729248,14.99358591272132,-1.0,2023-04-28 00:00:00-04:00,131.54052777099608,16.139584696272557
107,2023-04-28 00:00:00-04:00,131.54052777099608,15.118134318508929,1.0,2023-06-13 00:00:00-04:00,133.47966796875,29.31618197206365
108,2023-06-15 00:00:00-04:00,135.20625691223145,14.711993394520478,-1.0,2023-06-16 00:00:00-04:00,135.7142071685791,-7.4729608161314784
109,2023-06-20 00:00:00-04:00,134.45868043518064,14.792086143754169,1.0,2023-06-30 00:00:00-04:00,134.9793264770508,7.701441101747914
110,2023-06-30 00:00:00-04:00,134.9793264770508,14.735580281093915,-1.0,2023-07-03 00:00:00-04:00,133.0153440093994,28.940421322738004
111,2023-07-03 00:00:00-04:00,133.0153440093994,14.956909999321574,1.0,2023-07-10 00:00:00-04:00,133.07516564941406,0.8947468857111013
112,2023-07-12 00:00:00-04:00,138.69888505554198,14.343567543331991,-1.0,2023-07-18 00:00:00-04:00,143.25717350769042,-65.38211829538147
113,2023-07-19 00:00:00-04:00,141.36896516418454,14.0628340611307,1.0,2023-07-28 00:00:00-04:00,134.9793264770508,-89.856428567743
114,2023-07-28 00:00:00-04:00,134.9793264770508,14.714649250088382,-1.0,2023-07-31 00:00:00-04:00,134.79481640625,2.715000974942711
115,2023-08-02 00:00:00-04:00,131.69062583923338,15.081926597640702,1.0,2023-08-07 00:00:00-04:00,133.98285690307617,34.57126064970884
